_id,first_name,last_name,role,department_id,schedule,salary,managed_by,email,gender,password
1,Chariot,Frankis,Doctor,9,Off-Sunday,255279.32,null,cfrankis0@moonfruit.com,Male,xL5urVS
4,Jens,Adey,Doctor,6,On-call Sunday,143835.77,null,jadey1@webmd.com,Female,lW5\7o
8,Mora,Laister,Doctor,4,Full week,399890.09,null,mlaister2@people.com.cn,Female,wJ9vHsr8y
9,Arnuad,Allridge,Doctor,1,Full week,290135.61,null,aallridge3@wikimedia.org,Female,fG8N*u)Y
13,Shay,Bolter,Doctor,10,Full week,150831.42,9,sbolter4@addthis.com,Male,tX5|PA(
16,Bobbe,Agates,Doctor,9,On-call Sunday,151884.83,4,bagates5@plala.or.jp,Male,"uN9iuI%,"
19,Vanya,Pargeter,Doctor,8,Full week,125417.81,8,vpargeter6@flickr.com,Other,oP0F@e?y
24,Atlanta,Bowerman,Doctor,3,Full week,374332.76,8,abowerman7@jiathis.com,Female,uM8nAk
26,Alethea,Clinch,Doctor,3,Full week,149756.51,8,aclinch8@godaddy.com,Female,eG1~`gkUG7
33,Niven,Fairnington,Doctor,8,Full week,327383.23,9,nfairnington9@unc.edu,Other,oV5i5m/cI
38,Chrissy,Summerson,Doctor,1,Full week,281663.79,1,csummersona@java.com,Male,tD8H4pDc8E}
39,Stace,Dolton,Doctor,8,On-call Sunday,261700.14,9,sdoltonb@cornell.edu,Male,"pB4K""uy5"
43,Merle,Cregin,Doctor,7,Full week,288115.4,9,mcreginc@oakley.com,Male,oJ6SQV#qF(yg
51,Alicea,Steynor,Doctor,5,Off-Sunday,373516.31,9,asteynord@tinyurl.com,Male,qV24C`
57,Lettie,Tempest,Doctor,4,Full week,244687.05,4,ltempeste@usgs.gov,Female,"uM0U\""(%>9EJ"
60,Rikki,Lauxmann,Doctor,7,Full week,368742.98,1,rlauxmannf@de.vu,Female,tY9lAY&qNT(
61,Dud,Airs,Doctor,2,On-call Sunday,280518.89,1,dairsg@ftc.gov,Male,hL1sgH
67,Graham,Shelp,Doctor,6,On-call Sunday,279814.93,4,gshelph@businessinsider.com,Female,iI91e4
79,Felic,Huncoot,Doctor,7,On-call Sunday,361318.81,4,fhuncooti@drupal.org,Female,mY7!LKCA2
81,Mendie,Surtees,Doctor,8,Off-Sunday,386121.77,4,msurteesj@theguardian.com,Other,aK510.
82,Prinz,Corradengo,Doctor,10,On-call Sunday,152559.31,1,pcorradengok@cbslocal.com,Female,rQ7J.S!
86,Vachel,Noni,Doctor,10,Full week,392024.99,8,vnonil@purevolume.com,Other,aB3+H}dD0WW
91,Ethelbert,Othick,Doctor,8,On-call Sunday,92191.77,1,eothickm@blog.com,Male,"cL5TT#(WT,)"
96,Bettina,Lansly,Doctor,7,Full week,178817.51,9,blanslyn@youtu.be,Male,uC8h`l#w||T|
108,Freedman,Beste,Doctor,9,On-call Sunday,229096.51,8,fbesteo@ihg.com,Female,zU0TwGURa
109,Kimbell,Ostler,Doctor,6,Full week,134334.83,8,kostlerp@admin.ch,Male,aV1fuq
110,Gillian,Lodden,Doctor,10,On-call Sunday,77887.14,8,gloddenq@paginegialle.it,Female,fH5i4U?
112,Wally,Louis,Doctor,9,Full week,79044.78,9,wlouisr@who.int,Male,"gZ6D,Ex/"
117,Otis,Waring,Doctor,5,Full week,221813.49,4,owarings@sciencedaily.com,Female,gA7Qoj_$
