_id,first_name,last_name,role,department_id,schedule,salary,managed_by,email,gender,password
2,Arney,Learoyd,Nurse,6,On-call Sunday,275775.22,1,alearoyd0@dropbox.com,Other,zE1t1E(muU\
3,Mia,Standall,Nurse,9,On-call Sunday,301761.81,4,mstandall1@examiner.com,Other,bW75>9
5,Sydney,Rosoni,Nurse,1,Full week,97931.45,8,srosoni2@com.com,Female,mM8z'x
6,Jonathon,Hamley,Nurse,2,Full week,296483.3,9,jhamley3@weibo.com,Other,uL21D4'w}$?l
7,Stacia,Ravilus,Nurse,5,On-call Sunday,325953.63,13,sravilus4@sina.com.cn,Other,bH4yZ6N$si$r
10,Chickie,Gainseford,Nurse,7,On-call Sunday,259248.01,16,cgainseford5@jugem.jp,Other,aY7~!PL*gB
11,Paulie,Pinxton,Nurse,5,Full week,364655.96,19,ppinxton6@home.pl,Female,sL4FHX
12,Lefty,Florence,Nurse,5,On-call Sunday,268811.85,24,lflorence7@harvard.edu,Other,hW2=_C&/
14,Lodovico,Glanz,Nurse,9,Off-Sunday,233125.02,26,lglanz8@va.gov,Male,cA62(*=/9((z
15,Rosabelle,Conechie,Nurse,9,Full week,304224.0,33,rconechie9@nature.com,Female,cL1bfTG)
17,Brendis,Woolway,Nurse,8,Full week,326837.76,38,bwoolwaya@hhs.gov,Other,"jQ44eW|0N)"""
18,Valentina,Gregg,Nurse,7,Full week,185066.91,39,vgreggb@icio.us,Male,tA7_(1
20,Sharleen,Wimpey,Nurse,6,Full week,369187.89,43,swimpeyc@uol.com.br,Female,eT5iau'lX
21,Ciel,Holleran,Nurse,3,Full week,344485.47,51,chollerand@constantcontact.com,Male,"gH6|v,e5b!J"
22,Deanna,Lisett,Nurse,7,Off-Sunday,176591.6,57,dlisette@java.com,Other,oF3aN@KZ
23,Carmita,Harse,Nurse,8,On-call Sunday,374607.52,60,charsef@washington.edu,Female,yC3/c%UwLYs
25,Augustin,Moroney,Nurse,1,Full week,388213.76,61,amoroneyg@si.edu,Other,mG58oa5>FZR
